STATE/UT,CONSTITUENCY,WINNER,SEX,PARTY,SYMBOL
West Bengal,Howrah Madhya,"Arup Roy, S/o Late Prabhat Roy",M,AITC,Flowers and Grass
West Bengal,Shibpur,Manoj Tiwary,M,AITC,Flowers and Grass
West Bengal,Howrah Dakshin,NANDITA CHOWDHURY,F,AITC,Flowers and Grass
West Bengal,Sankrail,PRIYA PAUL,F,AITC,Flowers and Grass
West Bengal,Panchla,GULSAN MULLICK,M,AITC,Flowers and Grass
West Bengal,Uluberia Purba,BIDESH RANJAN BOSE,M,AITC,Flowers and Grass
West Bengal,Uluberia Uttar,Dr. Nirmal Maji,M,AITC,Flowers and Grass
West Bengal,Uluberia Dakshin,PULAK ROY,M,AITC,Flowers and Grass
West Bengal,Shyampur,KALIPADA MANDAL,M,AITC,Flowers and Grass
West Bengal,Bagnan,Arunava Sen (Raja),M,AITC,Flowers and Grass
West Bengal,Amta,SUKANTA KUMAR PAUL,M,AITC,Flowers and Grass
West Bengal,Udaynarayanpur,SAMIR KUMAR PANJA,M,AITC,Flowers and Grass
West Bengal,Jagatballavpur,SITANATH GHOSH,M,AITC,Flowers and Grass
West Bengal,Domjur,KALYAN GHOSH,M,AITC,Flowers and Grass
West Bengal,Uttarpara,KANCHAN MULLICK,M,AITC,Flowers and Grass
West Bengal,Sreerampur,DR. SUDIPTO ROY,M,AITC,Flowers and Grass
West Bengal,Champdani,ARINDAM GUIN (BUBAI),M,AITC,Flowers and Grass
West Bengal,Singur,BECHARAM MANNA,M,AITC,Flowers and Grass
West Bengal,Chandannagar,INDRANIL SEN,M,AITC,Flowers and Grass
West Bengal,Chunchura,Asit Mazumder (Tapan),M,AITC,Flowers and Grass
West Bengal,Balagarh,MANORANJAN BAPARI,M,AITC,Flowers and Grass
West Bengal,Pandua,Dr. Ratna De Nag,F,AITC,Flowers and Grass
West Bengal,Saptagram,TAPAN DASGUPTA,M,AITC,Flowers and Grass
West Bengal,Chanditala,SWATI KHANDOKER,F,AITC,Flowers and Grass
West Bengal,Jangipara,SNEHASIS CHAKRABORTY,M,AITC,Flowers and Grass
West Bengal,Haripal,Dr. Karabi Manna,F,AITC,Flowers and Grass
West Bengal,Dhanekhali,ASIMA PATRA,F,AITC,Flowers and Grass
West Bengal,Tarakeswar,RAMENDU SINHARAY,M,AITC,Flowers and Grass
West Bengal,Pursurah,BIMAN GHOSH,M,BJP,Lotus
West Bengal,Arambag,MADHUSUDAN BAG,M,BJP,Lotus
West Bengal,Goghat,BISWANATH KARAK,M,BJP,Lotus
West Bengal,Khanakul,SUSANTA GHOSH,M,BJP,Lotus
West Bengal,Tamluk,Saumen Kumar Mahapatra,M,AITC,Flowers and Grass
West Bengal,Panskura Purba,Biplab Roy Chowdhury,M,AITC,Flowers and Grass
West Bengal,Panskura Paschim,PHIROJA BIBI,F,AITC,Flowers and Grass
West Bengal,Moyna,Ashoke Dinda,M,BJP,Lotus
West Bengal,Nandakumar,SUKUMAR DE,M,AITC,Flowers and Grass
West Bengal,Mahishadal,TILAK KUMAR CHAKRABORTY,M,AITC,Flowers and Grass
West Bengal,Haldia,Tapasi Mondal,F,BJP,Lotus
West Bengal,Nandigram,ADHIKARI SUVENDU,M,BJP,Lotus
West Bengal,Chandipur,Soham Chakraborty,M,AITC,Flowers and Grass
West Bengal,Patashpur,UTTAM BARIK,M,AITC,Flowers and Grass
West Bengal,Kanthi Uttar,SUMITA SINHA,F,BJP,Lotus
West Bengal,Bhagabanpur,RABINDRANATH MAITY,M,BJP,Lotus
West Bengal,Khejuri,SANTANU PRAMANIK,M,BJP,Lotus
West Bengal,Kanthi Dakshin,ARUP KUMAR DAS,M,BJP,Lotus
West Bengal,Ramnagar,AKHIL GIRI,M,AITC,Flowers and Grass
West Bengal,Egra,TARUN KUMAR MAITY,M,AITC,Flowers and Grass
West Bengal,Dantan,BIKRAM CHANDRA PRADHAN,M,AITC,Flowers and Grass
West Bengal,Nayagram,DULAL MURMU,M,AITC,Flowers and Grass
West Bengal,Gopiballavpur,Dr. Khagendra Nath Mahata,M,AITC,Flowers and Grass
West Bengal,Jhargram,BIRBAHA HANSDA,F,AITC,Flowers and Grass
West Bengal,Keshiary,PARESH MURMU,M,AITC,Flowers and Grass
West Bengal,Kharagpur Sadar,HIRANMOY CHATTOPADHYAYA,M,BJP,Lotus
West Bengal,Narayangarh,ATTA SURJA KANTA,M,AITC,Flowers and Grass
West Bengal,Sabang,MANAS RANJAN BHUNIA,M,AITC,Flowers and Grass
West Bengal,Pingla,AJIT MAITY,M,AITC,Flowers and Grass
West Bengal,Kharagpur,DINEN ROY,M,AITC,Flowers and Grass
West Bengal,Debra,HUMAYUN KABIR,M,AITC,Flowers and Grass
West Bengal,Daspur,MAMATA BHUNIA,F,AITC,Flowers and Grass
West Bengal,Ghatal,SITAL KAPAT,M,BJP,Lotus
West Bengal,Chandrakona,ARUP DHARA,M,AITC,Flowers and Grass
West Bengal,Garbeta,Uttara Singha (Hazra),F,AITC,Flowers and Grass
West Bengal,Salboni,Srikanta Mahata,M,AITC,Flowers and Grass
West Bengal,Keshpur,Seuli Saha,F,AITC,Flowers and Grass
West Bengal,Medinipur,June Maliah,F,AITC,Flowers and Grass
West Bengal,Binpur,DEBNATH HANSDA,M,AITC,Flowers and Grass
West Bengal,Bandwan,RAJIB LOCHAN SAREN,M,AITC,Flowers and Grass
West Bengal,Balarampur,BANESWAR MAHATO,M,BJP,Lotus
West Bengal,Baghmundi,Sushanta Mahato,M,AITC,Flowers and Grass
West Bengal,Joypur,Nara Hari Mahato,M,BJP,Lotus
West Bengal,Purulia,Sudip Kumar Mukherjee,M,BJP,Lotus
West Bengal,Manbazar,SANDHYARANI TUDU,F,AITC,Flowers and Grass
West Bengal,Kashipur,KAMALAKANTA HANSDA,M,BJP,Lotus
West Bengal,Para,NADIAR CHAND BOURI,M,BJP,Lotus
West Bengal,Raghunathpur,Vivekananda Bauri,M,BJP,Lotus
West Bengal,Saltora,BAURI CHANDANA,F,BJP,Lotus
West Bengal,Chhatna,SATYANARAYAN MUKHOPADHYAY,M,BJP,Lotus
West Bengal,Ranibandh,Jyotsna Mandi,F,AITC,Flowers and Grass
West Bengal,Raipur,MRITYUNJOY MURMU,M,AITC,Flowers and Grass
West Bengal,Taldangra,ARUP CHAKRABORTY,M,AITC,Flowers and Grass
West Bengal,Bankura,NILADRI SEKHAR DANA,M,BJP,Lotus
West Bengal,Barjora,ALOK MUKHERJEE,M,AITC,Flowers and Grass
West Bengal,Onda,AMARNATH SHAKHA,M,BJP,Lotus
West Bengal,Bishnupur,TANMAY GHOSH (BUMBA),M,BJP,Lotus
West Bengal,Katulpur,HARAKALI PROTIHER,M,BJP,Lotus
West Bengal,Indus,NIRMAL KUMAR DHARA,M,BJP,Lotus
West Bengal,Sonamukhi,DIBAKAR GHARAMI,M,BJP,Lotus
West Bengal,Khandaghosh,NABIN CHANDRA BAG,M,AITC,Flowers and Grass
West Bengal,Burdwan Dakshin,KHOKAN DAS,M,AITC,Flowers and Grass
West Bengal,Raina,Shampa Dhara,F,AITC,Flowers and Grass
West Bengal,Jamalpur,ALOK KUMAR MAJHI,M,AITC,Flowers and Grass
West Bengal,Monteswar,CHOWDHURY SIDDIQULLAH,M,AITC,Flowers and Grass
West Bengal,Kalna,DEBOPRASAD BAG (POLTU),M,AITC,Flowers and Grass
West Bengal,Memari,MADHUSUDAN BHATTACHARYA,M,AITC,Flowers and Grass
West Bengal,Burdwan Uttar,NISITH KUMAR MALIK,M,AITC,Flowers and Grass
West Bengal,Bhatar,ADHIKARI MANGOBINDA,M,AITC,Flowers and Grass
West Bengal,Purbasthali Dakshin,SWAPAN DEBNATH,M,AITC,Flowers and Grass
West Bengal,Purbasthali Uttar,TAPAN CHATTERJEE,M,AITC,Flowers and Grass
West Bengal,Katwa,Rabindranath Chatterjee,M,AITC,Flowers and Grass
West Bengal,Ketugram,Sekh Sahonawez,M,AITC,Flowers and Grass
West Bengal,Mongalkote,Apurba Chowdhury (Achal),M,AITC,Flowers and Grass
West Bengal,Ausgram,ABHEDANANDA THANDER,M,AITC,Flowers and Grass
West Bengal,Galsi,NEPAL GHORUI,M,AITC,Flowers and Grass
West Bengal,Pandabeswar,NARENDRANATH CHAKRABORTY,M,AITC,Flowers and Grass
West Bengal,Durgapur Purba,PRADIP MAZUMDAR,M,AITC,Flowers and Grass
West Bengal,Durgapur Paschim,LAKSHMAN CHANDRA GHORUI,M,BJP,Lotus
West Bengal,Raniganj,TAPAS BANERJEE,M,AITC,Flowers and Grass
West Bengal,Jamuria,HARERAM SINGH,M,AITC,Flowers and Grass
West Bengal,Asnsol Dakshin,AGNIMITRA PAUL,F,BJP,Lotus
West Bengal,Asansol Uttar,Ghatak Moloy,M,AITC,Flowers and Grass
West Bengal,Kulti,AJAY KUMAR PODDAR,M,BJP,Lotus
West Bengal,Barabani,BIDHAN UPADHYAY,M,AITC,Flowers and Grass
West Bengal,Dubrajpur,Anup Kumar Saha,M,BJP,Lotus
West Bengal,Suri,BIKASH ROYCHOUDHURY,M,AITC,Flowers and Grass
West Bengal,Bolpur,SINHA CHANDRANATH,M,AITC,Flowers and Grass
West Bengal,Nanoor,BIDHAN CHANDRA MAJHI,M,AITC,Flowers and Grass
West Bengal,Labhpur,ABHIJIT SINHA (RANA),M,AITC,Flowers and Grass
West Bengal,Sainthia,NILABATI SAHA,F,AITC,Flowers and Grass
West Bengal,Mayureswar,ABHIJIT ROY,M,AITC,Flowers and Grass
West Bengal,Rampurhat,ASISH BANERJEE,M,AITC,Flowers and Grass
West Bengal,Hansan,Dr. ASOK KUMAR CHATTOPADHYAY,M,AITC,Flowers and Grass
West Bengal,Nalhati,RAJENDRA PRASAD SINGH (RAJU SINGH),M,AITC,Flowers and Grass
West Bengal,Murarai,DR MOSARRAF HOSSAIN,M,AITC,Flowers and Grass
