1 Mekliganj,,,,,,,,
9,MUSARAT PARVEEN,IND,Z,134,0.07,0.11,DF,124455
161 Ballygunge,,,,,,,,
6,CHHANDA SAHA,BNARP,U,580,0.23,0.38,DF,150962
162 Chowrangee,,,,,,,,
1,BANDYOPADHYAY NAYNA,AITC,N,70101,33.67,62.87,W,111493
7,MANIKA PAUL,SUCI,U,204,0.1,0.18,DF,111493
163 Entally,,,,,,,,
2,Priyanka Tibrewal,BJP,N,43452,18.83,27.7,L,156874
8,Swarnalata Sarkar,BNARP,U,132,0.06,0.08,DF,156874
13,Mousumi Roy,IND,Z,770,0.33,0.49,DF,156874
15,Saleha Tabassum,IND,Z,671,0.29,0.43,DF,156874
165 Jorasanko,,,,,,,,
2,MEENA DEVI PUROHIT,BJP,N,39380,19.89,39.8,L,98955
166 Shyampukur,,,,,,,,
3,Dr. SHASHI PANJA,AITC,N,55785,31.6,54.18,W,102970
4,MUNNI MALI,SJSMP,U,409,0.23,0.4,DF,102970
5,Chhaya Ghosh,IND,Z,122,0.07,0.12,DF,102970
9,PURNIMA BANERJEE,IND,Z,94,0.05,0.09,DF,102970
167 Maniktola,,,,,,,,
3,Rupa Bagchi,CPI(M),N,13513,6.39,10.16,DF,132967
8,Moumita Manna,IND,Z,240,0.11,0.18,DF,132967
169 Bally,,,,,,,,
1,DIPSITA DHAR,CPI(M),N,22040,12.51,17.51,L,125873
2,BAISHALI DALMIYA,BJP,N,47110,26.74,37.43,L,125873
4,PUTUL CHOWDHURY,SUCI,U,442,0.25,0.35,DF,125873
6,UJJWALA BISWAS,IND,Z,82,0.05,0.07,DF,125873
9,MAYA SAMANTA,IND,Z,172,0.1,0.14,DF,125873
171 Howrah Madhya,,,,,,,,
4,Anamika Singh,JD(U),U,545,0.2,0.28,DF,195144
173 Howrah Dakshin,,,,,,,,
1,NANDITA CHOWDHURY,AITC,N,116839,39.71,53.86,W,216940
7,MAMATA BANERJEE,IND,Z,322,0.11,0.15,DF,216940
174 Sankrail,,,,,,,,
2,PRIYA PAUL,AITC,N,111888,40.37,50.37,W,222127
178 Uluberia Dakshin,,,,,,,,
2,PAPIA DEY (ADHIKARY),BJP,N,73442,30.9,36.31,L,202266
179 Shyampur,,,,,,,,
3,TNUSREE CHAKRABORTY,BJP,N,83293,32.34,37.54,L,221889
180 Bagnan,,,,,,,,
4,Pampa Sarkar Bera,SUCI,U,464,0.2,0.23,DF,199935
184 Domjur,,,,,,,,
4,RAJANI BEGUM,BNARP,U,1300,0.43,0.52,DF,250978
6,NANDITA ROY,IND,Z,218,0.07,0.09,DF,250978
10,SANCHAYITA GHOSH,IND,Z,172,0.06,0.07,DF,250978
189 Chandannagar,,,,,,,,
5,TANDRA BHATTACHARJEE (TANDRADI),IND,Z,365,0.16,0.2,DF,182178
190 Chunchura,,,,,,,,
4,Locket Chatterjee,BJP,N,98687,31.4,38.74,L,254737
5,Ajanta Sarkar,SP(I),U,1042,0.33,0.41,DF,254737
191 Balagarh,,,,,,,,
2,MAHAMAYA MONDAL,CPI(M),N,19766,7.63,8.99,DF,219957
192 Pandua,,,,,,,,
3,Mina Roy,BSP,N,1650,0.61,0.74,DF,223664
4,Dr. Ratna De Nag,AITC,N,102874,38.03,45.99,W,223664
194 Chanditala,,,,,,,,
3,SWATI KHANDOKER,AITC,N,103118,39.17,49.79,W,207106
195 Jangipara,,,,,,,,
4,TANUSREE GHOSH,IND,Z,661,0.26,0.31,DF,210411
196 Haripal,,,,,,,,
1,Dr. Karabi Manna,AITC,N,110215,40.87,49.92,W,220774
197 Dhanekhali,,,,,,,,
2,ASIMA PATRA,AITC,N,124776,45.95,53.36,W,233838
199 Pursurah,,,,,,,,
3,MONIKA MALIK GHOSH,INC,N,7828,3.01,3.51,DF,223074
200 Arambag,,,,,,,,
4,SUJATA MONDAL,AITC,N,95936,37.24,43.62,L,219960
205 Panskura Paschim,,,,,,,,
2,PHIROJA BIBI,AITC,N,111705,40.75,47.71,W,234141
4,PREETILATA DAS TEWARI,LJP,U,817,0.3,0.35,DF,234141
209 Haldia,,,,,,,,
1,Kar Paik Manika,CPI(M),N,22688,9.04,10.27,DF,220823
2,Tapasi Mondal,BJP,N,104126,41.48,47.15,W,220823
210 Nandigram,,,,,,,,
2,Mamata Banerjee,AITC,N,108808,42.17,47.64,L,228405
3,Minakshi Mukherjee,CPI(M),N,6267,2.43,2.74,DF,228405
213 Kanthi Uttar,,,,,,,,
3,SUMITA SINHA,BJP,N,113524,44.1,49.7,W,228416
8,LIRIKA MUKTAR,IND,Z,652,0.25,0.29,DF,228416
216 Kanthi Dakshin,,,,,,,,
4,SHRABANI PAHARI,SUCI,U,1136,0.51,0.58,DF,194681
217 Ramnagar,,,,,,,,
4,ARATI PAHARI,SUCI,U,944,0.36,0.43,DF,222060
5,TRAYEE PRADHAN,RTORP,U,405,0.15,0.18,DF,222060
222 Jhargram,,,,,,,,
1,BIRBAHA HANSDA,AITC,N,109493,46.39,54.26,W,201797
2,MADHUJA SEN ROY,CPI(M),N,10430,4.42,5.17,DF,201797
5,ARCHANA SAIN,SUCI,U,1193,0.51,0.59,DF,201797
223 Keshiary,,,,,,,,
4,SONALI MURMU SOREN,BJP,N,91036,38.12,42.8,L,212681
224 Kharagpur Sadar,,,,,,,,
2,REETA SHARMA,INC,N,10791,4.6,6.3,DF,171385
227 Pingla,,,,,,,,
2,ANTARA BHATTACHARYYA,BJP,N,105779,41.47,46.26,L,228669
228 Kharagpur,,,,,,,,
4,BARSHA MAHAPATRA,AMB,U,617,0.27,0.31,DF,200044
229 Debra,,,,,,,,
2,BHARATI GHOSH,BJP,N,84624,36.14,41.31,L,204866
230 Daspur,,,,,,,,
3,MAMATA BHUNIA,AITC,N,114753,38.5,51.58,W,222464
233 Garbeta,,,,,,,,
1,Uttara Singha (Hazra),AITC,N,94928,40.91,45.71,W,207681
235 Keshpur,,,,,,,,
3,Seuli Saha,AITC,N,116992,44.73,50.81,W,230232
236 Medinipur,,,,,,,,
1,June Maliah,AITC,N,121175,43.27,50.72,W,238898
239 Balarampur,,,,,,,,
1,ANANDI TUDU,BSP,N,1416,0.59,0.72,DF,197965
242 Purulia,,,,,,,,
5,Rani Mahato,SUCI,U,1209,0.47,0.58,DF,206868
243 Manbazar,,,,,,,,
1,GOURI SINGH SARDAR,BJP,N,87782,34.6,41.07,L,213729
4,SANDHYARANI TUDU,AITC,N,103298,40.72,48.33,W,213729
244 Kashipur,,,,,,,,
2,MALLIKA MAHATA,CPI(M),N,10927,4.57,5.61,DF,194892
245 Para,,,,,,,,
6,BABITA BOURI,IND,Z,772,0.32,0.4,DF,194021
247 Saltora,,,,,,,,
2,BAURI CHANDANA,BJP,N,91648,39.42,45.28,W,202413
249 Ranibandh,,,,,,,,
2,Jyotsna Mandi,AITC,N,90928,35.89,43.06,W,211170
3,Deblina Hembram,CPI(M),N,20057,7.92,9.5,DF,211170
252 Bankura,,,,,,,,
2,RADHARANI BANERJEE,INC,N,13764,5.1,6.31,DF,217986
4,SAYANTIKA BANERJEE,AITC,N,93998,34.84,43.12,L,217986
5,LINA GHOSH,SUCI,U,1720,0.64,0.79,DF,217986
253 Barjora,,,,,,,,
3,SUPRITI CHATTERJEE,BJP,N,90021,35.9,41.02,L,219452
255 Bishnupur,,,,,,,,
1,ARCHITA BID,AITC,N,78269,35.69,40.88,L,191469
256 Katulpur,,,,,,,,
2,SANGEETA MALIK,AITC,N,94237,38.19,42.05,L,224123
257 Indus,,,,,,,,
3,RUNU METE,AITC,N,97716,40.22,44.73,L,218453
259 Khandaghosh,,,,,,,,
1,ASIMA ROY,CPI(M),N,22923,9.44,10.52,DF,217897
260 Burdwan Dakshin,,,,,,,,
2,PUSPA HANSDA,BSP,N,1455,0.56,0.71,DF,205345
3,PRITHA TAH,CPI(M),N,23346,9.05,11.37,DF,205345
261 Raina,,,,,,,,
4,Shampa Dhara,AITC,N,108752,42.03,47.46,W,229166
265 Memari,,,,,,,,
1,KALPANA MANDAL,BSP,N,2121,0.83,0.97,DF,218802
270 Katwa,,,,,,,,
4,Shyama Majumdar,BJP,N,98739,36.88,43.99,L,224459
273 Ausgram,,,,,,,,
2,KALITA MAJI,BJP,N,88577,35.87,40.8,L,217080
276 Durgapur Purba,,,,,,,,
6,BIJOY LAXMI PANDEY,RPPRINAT,U,528,0.21,0.27,DF,192674
277 Durgapur Paschim,,,,,,,,
8,CHANDRA MALLIKA BANDOPADHYAY,IND,Z,2038,0.76,1.04,DF,196902
279 Jamuria,,,,,,,,
1,AISHE GHOSH,CPI(M),N,24818,11.21,14.89,DF,166703
280 Asnsol Dakshin,,,,,,,,
1,AGNIMITRA PAUL,BJP,N,87881,32.04,45.13,W,194737
3,SAYANI GHOSH,AITC,N,83394,30.41,42.82,L,194737
5,SHIULI RUIDAS,BMUP,U,1157,0.42,0.59,DF,194737
287 Nanoor,,,,,,,,
4,SHYAMALI PRADHAN,CPI(M),N,12878,4.65,5.47,DF,235328
289 Sainthia,,,,,,,,
2,NILABATI SAHA,AITC,N,110572,43.2,49.84,W,221866
3,PIYA SAHA,BJP,N,95329,37.24,42.97,L,221866
4,MAUSUMI KONAI,CPI(M),N,10369,4.05,4.67,DF,221866
291 Rampurhat,,,,,,,,
6,FORIDA YASMIN (KEYA),SUCI,U,960,0.37,0.44,DF,217323
292 Hansan,,,,,,,,
5,JUTHIKA DHIBAR,SUCI,U,1229,0.5,0.58,DF,210606
